T1Celsius,t1min,T2Celsius,t2min,EquivalentsReagent1,EquivalentsBASE1,ConcentrationMolar,Yield,Impurity,ImpurityXRatio
137.00000000000003,27.5,155.0,47.5,1.65,4.4,0.82,0.9999401828768312,0.0029908560986699,1.650068793807289
119.0,17.5,47.0,22.5,1.85,3.2,0.82,0.9271020816850524,0.0010867321387892,1.9954535419833872
155.0,57.5,29.0,12.5,1.55,4.8,0.82,0.9998807728398202,0.0059613563909886,1.55012520346206
101.0,42.50000000000001,137.00000000000003,27.5,1.15,4.0,0.82,0.9747399473140096,0.0091569713299484,1.1797079143574458
173.00000000000003,32.5,119.0,57.5,1.35,2.0,0.82,0.9965320128034736,0.1225656302064737,1.3534681539266595
65.0,22.5,65.0,37.5,1.05,1.2,0.82,0.2173866023108161,3.1259414287665474e-06,4.830104328321552
29.0,12.5,101.0,52.50000000000001,1.95,2.8,0.82,0.9551664289819992,0.0006675847711332,2.041522047870296
191.0,47.5,173.00000000000003,17.5,1.45,1.6,0.82,0.9943317879852736,0.2831022290434109,1.455418598898295
83.0,52.50000000000001,83.0,32.5,1.25,3.6000000000000005,0.82,0.8201442067852632,0.0002049895854066,1.524119709390856
47.0,37.5,191.0,42.50000000000001,1.75,2.4000000000000004,0.82,0.998896827866065,0.0551586066794318,1.7513804880835822
96.13993247553972,21.990981637126566,142.65224050736327,36.35898931323349,1.990131247695756,2.212685415880997,0.82,0.999066309051712,0.0107616662332854,1.9918834345663197
79.96865273683159,19.45034270197637,119.1069739488458,39.37431350170494,1.9883414051125248,2.4414303310300665,0.8201,0.9849392402891024,0.0027963961163893,2.018716850562011
82.49964314920929,19.03184272499797,98.90229736396834,37.68680948978568,1.979185578941395,2.371095993506985,0.82,0.8974773538011028,0.0005469951783646,2.2052702506722297
102.1236006385248,22.13020415562476,145.86508668767763,36.96015256557333,2.0,2.2607014677820625,0.8201,0.9995893303276944,0.0106295679395622,2.0007153374326028
147.68622483139657,32.51308940311186,105.88441265541331,33.52726055161438,2.0,3.119397421323159,0.8201,0.9998816007134554,0.0058516982969941,2.0001783027010327
102.42089608276162,35.34960105853955,176.5838645099999,28.561530764543352,2.0,3.0978437575681994,0.82,0.9998647975995548,0.0067601198397656,2.0002028310257343
87.77603284902997,23.693586978005904,136.81257876489323,51.213910760295626,2.0,2.4075744651580333,0.8201,0.9997376572658316,0.0068191267194504,2.000456613990507
139.65556084240566,26.126907475258875,173.19235931579607,24.752087221317016,1.987124111361752,3.40243125664113,0.82,0.9999289884669764,0.0035505766311886,1.98722972182446
101.31435672378052,40.579140969277134,162.17639005159694,38.302426875586775,2.0,4.498455768644932,0.8201,0.9999853263744448,0.0007336812778135,2.000022010761312
105.35486418314538,43.24768793725656,103.85098028124918,57.353216826590064,2.0,1.8274171239561692,0.8201,0.9716232232546264,0.0030458216048047,2.058379723659432
59.08019081379216,27.027494172169085,164.87967025704785,45.84988283109127,2.0,2.616282786330733,0.8201,0.9996780452005436,0.0160977145272509,2.000483087986136
133.53243005917722,55.61951388954419,136.50204404658174,35.07149504174172,1.99858054547388,3.903761950036912,0.82,0.9999613930158237,0.0019303488057487,1.9986384033870368
193.52571199850328,42.9676474255234,131.35608064767055,58.602847261848666,2.0,2.6165289847849875,0.8201,0.9993071249499068,0.0346437525045518,2.0010400331881444
96.63222013028954,28.038250120509765,126.00577892769554,36.446372568412485,1.980878241788424,2.8011353344722303,0.8201,0.9982481234525648,0.0024012467006657,1.984330531441809
190.9456683380792,46.9341448153155,199.5095534192495,27.025057184205327,2.0,3.651174056670202,0.82,0.9996849616404314,0.0157519179792735,2.000472706460027
60.62435770548184,51.06655276410407,111.62795626494398,49.494099495086175,2.0,3.5174740859523594,0.8201,0.9975701131944202,0.0007776167740188,2.0048638159656624
75.00071841759504,53.94677773719929,149.8937617097031,40.21965775106416,1.990646220809137,4.295747451266024,0.82,0.9999643099883744,0.001784496338618,1.9906994239313245
93.96500116742712,11.83090267803246,89.85672084546968,45.68889455291997,2.0,4.604435955039208,0.82,0.9788217839802466,0.0001266343264528,2.0432715805772204
93.20849425039674,57.15534435114224,47.15831780290311,47.19714888967028,2.0,3.702870273291474,0.8201,0.9731793360154796,0.0002209152055867,2.055117404194592
105.10570153505006,33.30825431434918,192.1975722341486,48.415250943214666,2.0,2.143170028108484,0.8201,0.9991789218655566,0.0410539067223976,2.00123262928662
149.80294327942218,28.786560079180653,176.23031417256811,51.50346819782383,2.0,3.451111803326826,0.8201,0.9999005948204176,0.0049702589793233,2.0001491225929366
48.07818334529806,16.426354935682653,68.75289829720315,50.87755043371118,2.0,3.846341455216474,0.82,0.7463733627211859,9.824728272080689e-06,2.679623900913299
115.2712169753044,35.83945587778688,58.71505393392616,48.99885981612667,2.0,4.95942711633779,0.8201,0.999414659763486,0.0004740314146662,2.0011666230302807
161.67219179942356,30.853401599534923,91.68780446335036,29.653447106525743,1.982460323303581,2.695264317876352,0.8201,0.9997189712874336,0.0140235552283302,1.9828773332154253
157.9692034916241,50.95615081799051,69.46700199182904,32.21665614785708,2.0,3.7254476817385136,0.8201,0.9998879133630316,0.0056043318466897,2.000168148802677
122.020696246808,36.60227127394168,141.8091143197875,35.768025994916464,1.9980580750284005,1.959526877288282,0.82,0.9992666067718332,0.0107246328624087,1.9994171877255351
